id,inning1_runs,inning1_wickets,inning1_balls,inning2_runs,inning2_wickets,inning2_balls,season,city,venue,toss_winner,toss_decision,winner,result,result_margin,player_of_match,team1,team2,batting_team,bowling_team
336038,192,9,123,87,10,100,2008,Mumbai,Wankhede Stadium,Delhi,field,Rajasthan,runs,105.0,SR Watson,Delhi,Rajasthan,Rajasthan,Delhi
336039,112,8,122,116,1,93,2008,Mumbai,Wankhede Stadium,Punjab,bat,Chennai,wickets,9.0,M Ntini,Chennai,Punjab,Punjab,Chennai
336040,163,5,124,164,7,126,2008,Mumbai,Dr DY Patil Sports Academy,Rajasthan,field,Rajasthan,wickets,3.0,YK Pathan,Chennai,Rajasthan,Chennai,Rajasthan
392181,165,7,121,146,7,123,2009,Cape Town,Newlands,Chennai,field,Mumbai,runs,19.0,SR Tendulkar,Chennai,Mumbai,Mumbai,Chennai
392182,133,8,122,58,10,99,2009,Cape Town,Newlands,Bangalore,bat,Bangalore,runs,75.0,R Dravid,Bangalore,Rajasthan,Bangalore,Rajasthan
392183,104,7,76,58,0,32,2009,Cape Town,Newlands,Delhi,field,Delhi,wickets,10.0,DL Vettori,Delhi,Punjab,Punjab,Delhi
392184,101,10,119,104,2,80,2009,Cape Town,Newlands,Kolkata,bat,Hyderabad,wickets,8.0,RP Singh,Hyderabad,Kolkata,Kolkata,Hyderabad
392185,179,5,124,87,10,96,2009,Port Elizabeth,St George's Park,Chennai,bat,Chennai,runs,92.0,M Muralitharan,Bangalore,Chennai,Chennai,Bangalore
392186,158,6,127,79,1,60,2009,Durban,Kingsmead,Kolkata,field,Kolkata,runs,11.0,CH Gayle,Punjab,Kolkata,Punjab,Kolkata
392188,184,6,121,160,8,126,2009,Cape Town,Newlands,Hyderabad,bat,Hyderabad,runs,24.0,AC Gilchrist,Bangalore,Hyderabad,Hyderabad,Bangalore
392189,189,5,121,180,9,125,2009,Durban,Kingsmead,Delhi,bat,Delhi,runs,9.0,AB de Villiers,Chennai,Delhi,Delhi,Chennai
392191,168,9,123,173,3,119,2009,Durban,Kingsmead,Bangalore,bat,Punjab,wickets,7.0,RS Bopara,Bangalore,Punjab,Bangalore,Punjab
392192,168,9,125,156,7,127,2009,Durban,Kingsmead,Hyderabad,bat,Hyderabad,runs,12.0,PP Ojha,Hyderabad,Mumbai,Hyderabad,Mumbai
392194,149,7,126,150,4,120,2009,Port Elizabeth,St George's Park,Bangalore,bat,Delhi,wickets,6.0,TM Dilshan,Bangalore,Delhi,Bangalore,Delhi
392195,139,6,128,112,7,125,2009,Cape Town,Newlands,Punjab,bat,Punjab,runs,27.0,KC Sangakkara,Punjab,Rajasthan,Punjab,Rajasthan
392196,165,6,127,169,4,121,2009,Durban,Kingsmead,Hyderabad,field,Hyderabad,wickets,6.0,HH Gibbs,Chennai,Hyderabad,Chennai,Hyderabad
392197,187,6,124,95,9,95,2009,Port Elizabeth,St George's Park,Mumbai,bat,Mumbai,runs,92.0,SR Tendulkar,Kolkata,Mumbai,Mumbai,Kolkata
392198,143,7,122,147,5,118,2009,Centurion,SuperSport Park,Delhi,bat,Rajasthan,wickets,5.0,YK Pathan,Delhi,Rajasthan,Delhi,Rajasthan
392199,139,6,123,143,5,125,2009,Durban,Kingsmead,Kolkata,bat,Bangalore,wickets,5.0,MV Boucher,Bangalore,Kolkata,Kolkata,Bangalore
392200,119,8,126,116,7,128,2009,Durban,Kingsmead,Punjab,bat,Punjab,runs,3.0,KC Sangakkara,Punjab,Mumbai,Punjab,Mumbai
392201,148,9,123,150,4,120,2009,Centurion,SuperSport Park,Delhi,field,Delhi,wickets,6.0,DP Nannes,Hyderabad,Delhi,Hyderabad,Delhi
