winner,team1,team2,city,venue
Chennai,Chennai,Kerala,Chennai,MA Chidambaram Stadium
Gujarat,Gujarat,Mumbai,Ahmedabad,"Narendra Modi Stadium, Ahmedabad"
Kolkata,Kolkata,Punjab,Kolkata,Eden Gardens
Kolkata,Kolkata,Punjab,Kolkata,Eden Gardens
Delhi,Delhi,Hyderabad,Delhi,Feroz Shah Kotla
Kolkata,Delhi,Kolkata,Delhi,Feroz Shah Kotla
Kolkata,Kolkata,Bangalore,Ranchi,JSCA International Stadium Complex
Kolkata,Kolkata,Delhi,Abu Dhabi,Sheikh Zayed Stadium
Mumbai,Bangalore,Mumbai,Mumbai,Wankhede Stadium
Mumbai,Mumbai,Kolkata,Mumbai,Wankhede Stadium
Hyderabad,Mumbai,Hyderabad,Hyderabad,Rajiv Gandhi International Stadium
Bangalore,Punjab,Bangalore,Indore,Holkar Cricket Stadium
Kolkata,Kolkata,Bangalore,Kolkata,Eden Gardens
Chennai,Chennai,Kolkata,Chennai,MA Chidambaram Stadium
Mumbai,Mumbai,Delhi,Mumbai,Wankhede Stadium
Kolkata,Hyderabad,Kolkata,Mumbai,Dr DY Patil Sports Academy
Punjab,Punjab,Rajasthan,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Hyderabad,Hyderabad,Mumbai,Hyderabad,Rajiv Gandhi International Stadium
Bangalore,Mumbai,Bangalore,Mumbai,Brabourne Stadium
Delhi,Kerala,Delhi,Kochi,Nehru Stadium
Punjab,Gujarat,Punjab,Rajkot,Saurashtra Cricket Association Stadium
Chennai,Mumbai,Chennai,Mumbai,Wankhede Stadium
Kolkata,Hyderabad,Kolkata,Hyderabad,Rajiv Gandhi International Stadium
Delhi,Bangalore,Delhi,Bangalore,M Chinnaswamy Stadium
Punjab,Bangalore,Punjab,Bangalore,M Chinnaswamy Stadium
Mumbai,Mumbai,Hyderabad,Mumbai,Wankhede Stadium
Mumbai,Punjab,Mumbai,Centurion,SuperSport Park
Chennai,Delhi,Chennai,Delhi,Feroz Shah Kotla
Hyderabad,Delhi,Hyderabad,Delhi,Feroz Shah Kotla
Gujarat,Gujarat,Kolkata,Kanpur,Green Park
Punjab,Gujarat,Punjab,Navi Mumbai,Dr DY Patil Sports Academy
Rajasthan,Bangalore,Rajasthan,Jaipur,Sawai Mansingh Stadium
Hyderabad,Bangalore,Hyderabad,Cape Town,Newlands
Delhi,Delhi,Rajasthan,UAE,Dubai International Cricket Stadium
Kolkata,Hyderabad,Kolkata,Hyderabad,Rajiv Gandhi International Stadium
Delhi,Hyderabad,Delhi,Hyderabad,Rajiv Gandhi International Stadium
Rajasthan,Rajasthan,Kerala,Jaipur,Sawai Mansingh Stadium
Kolkata,Kolkata,Punjab,Kolkata,Eden Gardens
Punjab,Chennai,Punjab,Chennai,MA Chidambaram Stadium
Chennai,Kolkata,Chennai,UAE,Dubai International Cricket Stadium
Bangalore,Gujarat,Bangalore,Rajkot,Saurashtra Cricket Association Stadium
Gujarat,Bangalore,Gujarat,Mumbai,"Brabourne Stadium, Mumbai"
Delhi,Punjab,Delhi,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Punjab,Punjab,Pune,Chandigarh,"Punjab Cricket Association Stadium, Mohali"
Kolkata,Kolkata,Hyderabad,Kolkata,Eden Gardens
Chennai,Chennai,Punjab,Mumbai,Wankhede Stadium
Kolkata,Kolkata,Rajasthan,UAE,Dubai International Cricket Stadium
Chennai,Delhi,Chennai,Delhi,Feroz Shah Kotla
Bangalore,Gujarat,Bangalore,Bengaluru,M Chinnaswamy Stadium
Hyderabad,Hyderabad,Mumbai,Hyderabad,Rajiv Gandhi International Stadium
